package,keyword
cops,count data
COUNT,count data
countDM,count data
countfitteR,count data
CountsEPPM,count data
countSTAR,count data
countts,count data
covid19india,count data
dapper,count data
DCluster,count data
DEHOGT,count data
denoiSeq,count data
detect,count data
DiscreteDLM,count data
dpseg,count data
dtgiw,count data
eDITH,count data
eDNAjoint,count data
eggCounts,count data
epiR,count data
evinf,count data
excessmort,count data
fbglm,count data
gcKrig,count data
geoBayes,count data
germinationmetrics,count data
gginference,count data
glmtoolbox,count data
gp,count data
GRCRegression,count data
GWI,count data
gwzinbr,count data
hawkesbow,count data
hurdlr,count data
iccCounts,count data
iZID,count data
jrSiCKLSNMF,count data
kairos,count data
kernopt,count data
kinesis,count data
LDM,count data
lfc,count data
linelistBayes,count data
lori,count data
lrstat,count data
maczic,count data
mBvs,count data
mcount,count data
micsr,count data
mimi,count data
minb,count data
miniLNM,count data
mixpoissonreg,count data
mlfit,count data
MSRDT,count data
multicmp,count data
MultiCOAP,count data
MultRegCMP,count data
offsetreg,count data
overdisp,count data
PanelCount,count data
PeakSegDP,count data
PeakSegJoint,count data
PeakSegOptimal,count data
pgam,count data
PLNmodels,count data
pmartR,count data
pogit,count data
PoisBinNonNor,count data
PoisBinOrd,count data
poisson.glm.mix,count data
poolfstat,count data
predint,count data
provenance,count data
pscl,count data
ptools,count data
qcc,count data
qicharts,count data
qountstat,count data
Qploidy,count data
REffectivePred,count data
revengc,count data
RiskMap,count data
rtrim,count data
saeeb,count data
scMappR,count data
scModels,count data
sctransform,count data
SLTCA,count data
SpaCOAP,count data
SpatGC,count data
SpatialVS,count data
SRS,count data
SRTsim,count data
stepp,count data
surveil,count data
surveillance,count data
tabula,count data
tcv,count data
tesselle,count data
TPXG,count data
trendtestR,count data
TSGS,count data
ungroup,count data
weightedScores,count data
WMWssp,count data
ZIM4rv,count data
ZIPG,count data
cureplots,count models
bizicount,count models
Countr,count models
lacm,count models
mcount,count models
pglm,count models
zic,count models
cotram,count outcomes
carts,count outcomes
glmMisrep,count outcomes
minb,count outcomes
pcnetmeta,count outcomes
bestridge,count regression
bizicount,count regression
chicane,count regression
ewp,count regression
grpnet,count regression
lavacreg,count regression
oneinfl,count regression
minb,count response
Counterfactual,counterfactual analysis
lpdensity,counterfactual analysis
sstvars,counterfactual analysis
MRmediation,counterfactual framework
R6causal,counterfactual inference
WhatIf,counterfactual inference
fractD,counting method
coxsei,counting process
dpasurv,counting process
lpint,counting process
mtvc,counting process
swash,country comparison
tastyR,country of origin
acdcR,county level
cnmap,county level
covidcast,county level
us.census.geoheader,county level
usfertilizer,county level
vaxineR,county level
CFtime,coupled model
CMIP6VisR,coupled model
rTRIPLEXCWFlux,coupled model
eurlex,court decisions
hce,covariance analysis
ModStatR,covariance analysis
SpatMCA,covariance analysis
BayesNSGP,covariance functions
cocons,covariance functions
constrainedKriging,covariance functions
convoSPAT,covariance functions
covatest,covariance functions
fields,covariance functions
FRK,covariance functions
GeneralizedWendland,covariance functions
GPRMortality,covariance functions
ncf,covariance functions
spate,covariance functions
eFCM,covariance functions
glmmrBase,covariance functions
GPBayes,covariance functions
GpGp,covariance functions
mcgf,covariance functions
snapKrig,covariance functions
SpTe2M,covariance functions
clordr,covariance matrix
slm,covariance matrix
bahc,covariance matrix
bigGP,covariance matrix
BlockCov,covariance matrix
BSSasymp,covariance matrix
BSSoverSpace,covariance matrix
COR,covariance matrix
CovCorTest,covariance matrix
covKCD,covariance matrix
covTestR,covariance matrix
ddsPLS,covariance matrix
DistatisR,covariance matrix
equalCovs,covariance matrix
extraSuperpower,covariance matrix
FourWayHMM,covariance matrix
frechet,covariance matrix
gclm,covariance matrix
Glarmadillo,covariance matrix
graphpcor,covariance matrix
hda,covariance matrix
heckmanGE,covariance matrix
heplots,covariance matrix
jomo,covariance matrix
JPEN,covariance matrix
lme4GS,covariance matrix
lorec,covariance matrix
lotri,covariance matrix
MatrixHMM,covariance matrix
MatTransMix,covariance matrix
MCPModBC,covariance matrix
metaSEM,covariance matrix
MGMM,covariance matrix
mmrm,covariance matrix
MNormTest,covariance matrix
MTS,covariance matrix
multiwayvcov,covariance matrix
MVET,covariance matrix
mvhtests,covariance matrix
netregR,covariance matrix
nlshrink,covariance matrix
OptimalRerandExpDesigns,covariance matrix
paleomorph,covariance matrix
PCADSC,covariance matrix
pdSpecEst,covariance matrix
PEtests,covariance matrix
plm,covariance matrix
POET,covariance matrix
RMT4DS,covariance matrix
rWishart,covariance matrix
scov,covariance matrix
sEparaTe,covariance matrix
shapes,covariance matrix
SHIP,covariance matrix
SimComp,covariance matrix
sparseEigen,covariance matrix
SpatialBSS,covariance matrix
symmoments,covariance matrix
ToolsForCoDa,covariance matrix
transDA,covariance matrix
trunmnt,covariance matrix
vcov,covariance matrix
vcvComp,covariance matrix
VisCov,covariance matrix
vstdct,covariance matrix
WoodSimulatR,covariance matrix
xdcclarge,covariance matrix
xLLiM,covariance matrix
ALTopt,covariance matrix
amanpg,covariance matrix
ARHT,covariance matrix
BANAM,covariance matrix
BayesMultMeta,covariance matrix
Bayesrel,covariance matrix
BayesSUR,covariance matrix
bdsvd,covariance matrix
betaMC,covariance matrix
BigQuic,covariance matrix
brokenstick,covariance matrix
bspcov,covariance matrix
CalibrateSSB,covariance matrix
chandwich,covariance matrix
clime,covariance matrix
clubSandwich,covariance matrix
cmaesr,covariance matrix
ConfidenceEllipse,covariance matrix
corpcor,covariance matrix
covglasso,covariance matrix
covsim,covariance matrix
cvCovEst,covariance matrix
cvsem,covariance matrix
dacc,covariance matrix
datanugget,covariance matrix
dbacf,covariance matrix
dbd,covariance matrix
ddpca,covariance matrix
decorrelate,covariance matrix
dependentsimr,covariance matrix
distanceHD,covariance matrix
Docovt,covariance matrix
estimators,covariance matrix
evolqg,covariance matrix
FACTMLE,covariance matrix
fake,covariance matrix
FastBandChol,covariance matrix
FinCovRegularization,covariance matrix
fitHeavyTail,covariance matrix
FlexDir,covariance matrix
fungible,covariance matrix
GCPBayes,covariance matrix
gicf,covariance matrix
gips,covariance matrix
glasso,covariance matrix
graphsim,covariance matrix
Greg,covariance matrix
hcci,covariance matrix
HDRFA,covariance matrix
HDShOP,covariance matrix
intrinsicFRP,covariance matrix
iNZightMR,covariance matrix
JMdesign,covariance matrix
joker,covariance matrix
L1pack,covariance matrix
lax,covariance matrix
lnmCluster,covariance matrix
locStra,covariance matrix
LPower,covariance matrix
MAINT.Data,covariance matrix
mars,covariance matrix
Mestim,covariance matrix
mifa,covariance matrix
mlrv,covariance matrix
MomTrunc,covariance matrix
monolix2rx,covariance matrix
multiwave,covariance matrix
mvnmle,covariance matrix
mvnpermute,covariance matrix
MVNtestchar,covariance matrix
mvout,covariance matrix
netassoc,covariance matrix
nlWaldTest,covariance matrix
nonmem2rx,covariance matrix
OBRE,covariance matrix
phylopairs,covariance matrix
pmsesampling,covariance matrix
pmwg,covariance matrix
ratematrix,covariance matrix
rCMA,covariance matrix
refreg,covariance matrix
relliptical,covariance matrix
RM2006,covariance matrix
robustfa,covariance matrix
robustT2,covariance matrix
rrda,covariance matrix
rsem,covariance matrix
sae.prop,covariance matrix
sandwich,covariance matrix
ShrinkCovMat,covariance matrix
shrinkem,covariance matrix
simqi,covariance matrix
simTargetCov,covariance matrix
sinar,covariance matrix
skedastic,covariance matrix
spatialCovariance,covariance matrix
SPCAvRP,covariance matrix
spcov,covariance matrix
StableEstim,covariance matrix
stcov,covariance matrix
surveil,covariance matrix
survParamSim,covariance matrix
symSEM,covariance matrix
tmvtnorm,covariance matrix
TVMVP,covariance matrix
unusualprofile,covariance matrix
VCA,covariance matrix
far,covariance operators
RKUM,covariance operators
covsep,covariance operators
fdaACF,covariance operators
fdWasserstein,covariance operators
LatticeKrig,covariance parameters
gif,covariance selection
gRim,covariance selection
nsarfima,covariance stationarity
amen,covariance structure
covsep,covariance structure
EMMREML,covariance structure
fdWasserstein,covariance structure
glme,covariance structure
GPFDA,covariance structure
LAM,covariance structure
lnmCluster,covariance structure
longclust,covariance structure
LongituRF,covariance structure
mmeln,covariance structure
onlineCOV,covariance structure
propagate,covariance structure
regress,covariance structure
resevol,covariance structure
robustmatrix,covariance structure
teigen,covariance structure
UNPaC,covariance structure
elastes,covariance surface
varycoef,covariance tapering
AEenrich,covariate adjustment
autoCovariateSelection,covariate adjustment
beastt,covariate adjustment
beaver,covariate adjustment
beeca,covariate adjustment
binsreg,covariate adjustment
bulkQC,covariate adjustment
bunsen,covariate adjustment
caROC,covariate adjustment
carts,covariate adjustment
clustNet,covariate adjustment
dagitty,covariate adjustment
GMMAT,covariate adjustment
hce,covariate adjustment
HOIFCar,covariate adjustment
postcard,covariate adjustment
powerLATE,covariate adjustment
RobinCar,covariate adjustment
RobinCar2,covariate adjustment
sensitivityCalibration,covariate adjustment
sreg,covariate adjustment
surv2sampleComp,covariate adjustment
survRM2,covariate adjustment
triplediff,covariate adjustment
TULIP,covariate adjustment
approxmatch,covariate balance
CBPS,covariate balance
debiasedTrialEmulation,covariate balance
fastrerandomize,covariate balance
optrefine,covariate balance
PSW,covariate balance
randChecks,covariate balance
rcbalance,covariate balance
rcbsubset,covariate balance
triplesmatch,covariate balance
WeightIt,covariate balance
flexmsm,covariate effects
simMSM,covariate effects
SpTe2M,covariate effects
uniah,covariate effects
aisoph,covariate effects
aMNLFA,covariate effects
bgeva,covariate effects
bqror,covariate effects
conText,covariate effects
coveffectsplot,covariate effects
diversityForest,covariate effects
fastcmprsk,covariate effects
FlexGAM,covariate effects
GHRmodel,covariate effects
GJRM,covariate effects
GJRM.data,covariate effects
hmmTMB,covariate effects
icensmis,covariate effects
KSPM,covariate effects
lgpr,covariate effects
lori,covariate effects
LTCDM,covariate effects
MDCcure,covariate effects
mlmpower,covariate effects
PhenotypeSimulator,covariate effects
pseudoCure,covariate effects
spatstat,covariate effects
spatstat.explore,covariate effects
spatstat.linnet,covariate effects
SPCompute,covariate effects
vachette,covariate effects
VAJointSurv,covariate effects
CASCORE,covariate information
CausalMetaR,covariate information
closeloop,covariate information
CondiS,covariate information
MEclustnet,covariate information
npROCRegression,covariate information
powertools,covariate interaction
DSWE,covariate matching
autoCovariateSelection,covariate selection
fence,covariate selection
gausscov,covariate selection
nlmixr2extra,covariate selection
pedometrics,covariate selection
coveR2,cover photography
PACVr,coverage depth
lm.br,coverage probability
nsp,coverage probability
tsPI,coverage probability
ciuupi,coverage probability
cope,coverage probability
PoSI,coverage probability
EBCHS,coverage rate
mcb,coverage rate
adelie,cox model
bigSurvSGD,cox model
CaseCohortCoxSurvival,cox model
comets,cox model
compound.Cox,cox model
CoxBcv,cox model
coxme,cox model
CoxPlus,cox model
coxrobust,cox model
distcomp,cox model
dynsurv,cox model
ebmstate,cox model
ELYP,cox model
ExactCox,cox model
GAGAs,cox model
glmnet,cox model
intsurv,cox model
ipwCoxCSV,cox model
jstable,cox model
lboxcox,cox model
nph,cox model
plac,cox model
psbcSpeedUp,cox model
ReSurv,cox model
shinyCox,cox model
stelfi,cox model
survcompare,cox model
SurvMA,cox model
survminer,cox model
TBFmultinomial,cox model
TimeDepFrail,cox model
tramnet,cox model
wcox,cox model
bigPLScox,cox model
CSCNet,cox model
ezcox,cox model
glmnetr,cox model
grpCox,cox model
MapGAM,cox model
markovMSM,cox model
plsRcox,cox model
ppmHR,cox model
psfmi,cox model
RcmdrPlugin.survival,cox model
SGL,cox model
sox,cox model
StepRegShiny,cox model
survey,cox model
survival,cox model
survivalMPL,cox model
tram,cox model
TwoArmSurvSim,cox model
ExtendedABSurvTDC,cox ph model
gcerisk,cox ph model
inlabru,cox process
lgcp,cox process
stelfi,cox process
rts2,cox process
spatstat.random,cox process
SemiMarkov,cox proportional model
base.rms,cox regression
BMA,cox regression
cosso,cox regression
CoxICPen,cox regression
CoxMK,cox regression
Coxmos,cox regression
coxphf,cox regression
coxphw,cox regression
coxrt,cox regression
cutoff,cox regression
CutpointsOEHR,cox regression
eha,cox regression
ePCR,cox regression
ggrcs,cox regression
grpreg,cox regression
hdnom,cox regression
Landmarking,cox regression
mmc,cox regression
ncvreg,cox regression
ProSGPV,cox regression
psfmi,cox regression
Publish,cox regression
relgam,cox regression
riskRegression,cox regression
rms,cox regression
rmsMD,cox regression
splineCox,cox regression
SurvTrunc,cox regression
tfCox,cox's proportional hazard model
methcon5,cpg dna
MethEvolSIM,cpg islands
CimpleG,cpg methylation
ABC.RAP,cpg sites
betaclust,cpg sites
CpGassoc,cpg sites
EMAS,cpg sites
idiffomix,cpg sites
cramer,cramer test
rfars,crash data
abms,credibility interval
actuar,credibility theory
actxps,credibility theory
BayesBP,credible intervals
indirect,credible intervals
rmBayes,credible intervals
adsoRptionMCMC,credible intervals
ananke,credible intervals
basicMCMCplots,credible intervals
Bayesrel,credible intervals
bhmbasket,credible intervals
Blend,credible intervals
bqror,credible intervals
chartreview,credible intervals
DSBayes,credible intervals
LinCal,credible intervals
QAEnsemble,credible intervals
qgam,credible intervals
regspec,credible intervals
waveband,credible intervals
monobin,credit rating
monobinShiny,credit rating
creditmodel,credit risk
EMP,credit risk
GCPM,credit risk
migrate,credit risk
rawKS,credit risk
scorecard,credit risk
featForge,credit scoring
Rprofet,credit scoring
scorecard,credit scoring
varbin,credit scoring
crimedatasets,crime analysis
rcrimeanalysis,crime analysis
sate,criminal justice
crimCV,criminal trajectories
admisc,crisp sets
QCA,crisp sets
CEDA,crispr screen
PBNPA,crispr screen
TaylorRussell,criterion validity
clusterability,critical bandwidth
firesafety,critical infrastructure
KSgeneral,critical level
Rcriticor,critical periods
RPhosFate,critical source areas
cramer,critical values
GofKmt,critical values
hrt,critical values
SuRF.vs,critical values
TreeOrderTests,critical values
welchADF,critical values
YPInterimTesting,critical values
EL2Surv,critical values
fastGraph,critical values
FixSeqMTP,critical values
fracdist,critical values
highTtest,critical values
hytest,critical values
LSMRealOptions,critical values
micss,critical values
modehunt,critical values
ramchoice,critical values
Sequential,critical values
sTSD,critical values
peruflorads43,critically endangered
coefficientalpha,cronbach's alpha
Cronbach,cronbach's alpha
FAfA,cronbach's alpha
geopsych,cronbach's alpha
ham,cronbach's alpha
IATanalytics,cronbach's alpha
IntervalQuestionStat,cronbach's alpha
klausuR,cronbach's alpha
LikertEZ,cronbach's alpha
LikertMakeR,cronbach's alpha
missalpha,cronbach's alpha
PSS.Health,cronbach's alpha
snc,cronbach's alpha
CropBreeding,crop breeding
simET,crop coefficient
FAO56,crop evapotranspiration
MeTo,crop evapotranspiration
simET,crop evapotranspiration
PhysioIndexR,crop growth
Rwofost,crop growth
PhysioIndexR,crop improvement
SticsRFiles,crop model
climatrends,crop model
vegIndexCalc,crop monitoring
phenolocrop,crop phenology
PhysioIndexR,crop physiology
DyMEP,crop plants
carbonpredict,crop production
geohabnet,crop production
PhysioIndexR,crop production
SoilFunctionality,crop production
morrowplots,crop rotation
resevol,crop rotation
gnm,crop science
soilassessment,crop suitability
AutoWeatherIndices,crop yield
lue,crop yield
Rquefts,crop yield
soiltestcorr,crop yield
STCCGEV,crop yield
STCYP,crop yield
weatherindices,crop yield
CropScapeR,cropland data layer
FedData,cropland data layer
weatherindices,cropping season
Dasst,cropping system
DSSAT,cropping system
cccm,cross classification
BINCOR,cross correlation
callsync,cross correlation
DCCA,cross correlation
DFA,cross correlation
MFDFA,cross correlation
motoRneuron,cross correlation
ptw,cross correlation
rMEA,cross correlation
seewave,cross correlation
SlidingWindows,cross correlation
spup,cross correlation
SUSY,cross correlation
testcorr,cross correlation
XICOR,cross correlation
ccpsyc,cross cultural
CEoptim,cross entropy method
RCEIM,cross entropy method
Amelia,cross sections
apc,cross sections
facmodCS,cross sections
morphomap,cross sections
sandwich,cross sections
shelltrace,cross sections
spqdep,cross sections
archeoViz,cross sections
BMisc,cross sections
easyPSID,cross sections
gdi,cross sections
multilaterals,cross sections
PCRA,cross sections
topoDistance,cross sections
psd,cross spectrum
abc,cross validation
accSDA,cross validation
ACV,cross validation
adabag,cross validation
adsoRptionCV,cross validation
agghoo,cross validation
agtboost,cross validation
Ake,cross validation
aLFQ,cross validation
asmbPLS,cross validation
assignPOP,cross validation
bayesforecast,cross validation
bbl,cross validation
bcv,cross validation
bestglm,cross validation
bigPLSR,cross validation
BioMoR,cross validation
blackbox,cross validation
blockCV,cross validation
blocklength,cross validation
bmstdr,cross validation
bnlearn,cross validation
booami,cross validation
boostrq,cross validation
bootstrap,cross validation
BOSSreg,cross validation
BSGW,cross validation
BwQuant,cross validation
caretForecast,cross validation
CARRoT,cross validation
CAST,cross validation
CatReg,cross validation
ccar3,cross validation
CCI,cross validation
cito,cross validation
clogitL1,cross validation
CMLS,cross validation
communication,cross validation
ConsRankClass,cross validation
conTree,cross validation
copula,cross validation
correctR,cross validation
countsplit,cross validation
Coxmos,cross validation
cpfa,cross validation
cramR,cross validation
crassmat,cross validation
crossval,cross validation
crossvalidationCP,cross validation
cv,cross validation
CVglasso,cross validation
cvLM,cross validation
cvmaPLFAM,cross validation
CvmortalityMult,cross validation
cvsem,cross validation
CVST,cross validation
CVThresh,cross validation
cvTools,cross validation
dfr,cross validation
DirStats,cross validation
DOvalidation,cross validation
EESPCA,cross validation
enetLTS,cross validation
ENMeval,cross validation
enmSdmX,cross validation
ensr,cross validation
ePCR,cross validation
EScvtmle,cross validation
EstimateGroupNetwork,cross validation
evmix,cross validation
extlasso,cross validation
EZtune,cross validation
fase,cross validation
fasterElasticNet,cross validation
FastKRR,cross validation
fastPLS,cross validation
fields,cross validation
FinCovRegularization,cross validation
flowml,cross validation
fmds,cross validation
forecastHybrid,cross validation
forecastML,cross validation
forestecology,cross validation
fspe,cross validation
FuncNN,cross validation
fxTWAPLS,cross validation
gamclass,cross validation
GAMens,cross validation
gaselect,cross validation
gensvm,cross validation
georob,cross validation
geospt,cross validation
geosptdb,cross validation
glmnetr,cross validation
glossa,cross validation
gomp,cross validation
GPpenalty,cross validation
greybox,cross validation
groupdata2,cross validation
grpnet,cross validation
GSMX,cross validation
hbal,cross validation
hbamr,cross validation
hfr,cross validation
HiDimDA,cross validation
ICV,cross validation
Imneuron,cross validation
influential,cross validation
ipflasso,cross validation
KDEmcmc,cross validation
kdml,cross validation
kerdiest,cross validation
KernSmoothIRT,cross validation
kfa,cross validation
ksm,cross validation
ktweedie,cross validation
LCAextend,cross validation
LiblineaR,cross validation
LocalCop,cross validation
loo,cross validation
MachineShop,cross validation
mcp,cross validation
MetabolicSurv,cross validation
mgcv,cross validation
MicrobiomeSurv,cross validation
mikropml,cross validation
missForest,cross validation
missoNet,cross validation
mlearning,cross validation
MLeval,cross validation
mlexperiments,cross validation
mlim,cross validation
mlr,cross validation
mlr3resampling,cross validation
mlr3spatiotempcv,cross validation
mmpca,cross validation
ModelMap,cross validation
modeltuning,cross validation
monoClust,cross validation
MSCMT,cross validation
msgps,cross validation
multiness,cross validation
multiridge,cross validation
multiview,cross validation
MUVR2,cross validation
ncvreg,cross validation
nestedcv,cross validation
nlcv,cross validation
nnlasso,cross validation
nprotreg,cross validation
oem,cross validation
OmicsPLS,cross validation
oosse,cross validation
origami,cross validation
oscar,cross validation
OSCV,cross validation
pcv,cross validation
pec,cross validation
pECV,cross validation
penAFT,cross validation
penalized,cross validation
penppml,cross validation
pgee.mixed,cross validation
plasso,cross validation
plsdof,cross validation
plsRbeta,cross validation
plsRcox,cross validation
plsRglm,cross validation
pminternal,cross validation
PointedSDMs,cross validation
PopVar,cross validation
ppls,cross validation
prclust,cross validation
predhy.GUI,cross validation
profileR,cross validation
ProxReg,cross validation
psfmi,cross validation
PSGD,cross validation
psych,cross validation
qcrlscR,cross validation
QHScrnomo,cross validation
quadrupen,cross validation
quantkriging,cross validation
RaSEn,cross validation
rchemo,cross validation
rDecode,cross validation
recommenderlab,cross validation
regda,cross validation
regsem,cross validation
Renvlp,cross validation
riskRegression,cross validation
rlcv,cross validation
rmda,cross validation
RMSS,cross validation
robqda,cross validation
RobustPrediction,cross validation
roccv,cross validation
roclab,cross validation
ROCR,cross validation
ROSE,cross validation
rqPen,cross validation
rrda,cross validation
rsample,cross validation
RSC,cross validation
rSRD,cross validation
SAMUR,cross validation
sboost,cross validation
scam,cross validation
SCBmeanfd,cross validation
searchAnalyzeR,cross validation
sgs,cross validation
sharpData,cross validation
sisal,cross validation
smoothedLasso,cross validation
snn,cross validation
snpAIMeR,cross validation
sparseGFM,cross validation
sparsegl,cross validation
sparseSEM,cross validation
spatialRF,cross validation
spatialsample,cross validation
spcr,cross validation
sperrorest,cross validation
splitTools,cross validation
spm,cross validation
spm2,cross validation
SPSP,cross validation
stgam,cross validation
stilt,cross validation
stylest2,cross validation
SubgrpID,cross validation
subsemble,cross validation
SuRF.vs,cross validation
survcompare,cross validation
survdnn,cross validation
surveyCV,cross validation
tcv,cross validation
tidyfit,cross validation
tidyhte,cross validation
TSGS,cross validation
TULIP,cross validation
unifiedml,cross validation
varEst,cross validation
vita,cross validation
waves,cross validation
wevid,cross validation
wNNSel,cross validation
xnet,cross validation
ZIPFA,cross validation
rankFD,crossed design
YPmodel,crossing hazards
SuperGauss,crossing over
adjROC,crossing point
BElikelihood,crossover designs
CrossCarry,crossover designs
BE,crossover designs
crossdes,crossover designs
Crossover,crossover designs
lrstat,crossover designs
SimTOST,crossover designs
TREDesigns,crossover designs
DFA,crossover points
prolific.api,crowd sourcing
validateIt,crowd sourcing
LadderFuelsR,crown base height
pdi,crown condition
VoxR,crown diameter
firebehavioR,crown fire
OpenBARD,crown radius
NFCP,crude oil
FishProxCompAnalyzer,crude protein
tabs,crustal deformation
GMMAT,cryptic relatedness
kdps,cryptic relatedness
quiddich,cryptic species
recluster,cryptic taxa
coreCT,ct imaging
CUB,cub models
FastCUB,cub models
BalancedSampling,cube method
rsamplr,cube method
sitepickR,cube method
asremlPlus,cubic smoothing spline
GenWin,cubic smoothing spline
growthPheno,cubic smoothing spline
akima,cubic spline
bsitar,cubic spline
distfromq,cubic spline
fase,cubic spline
GeneralizedWendland,cubic spline
ggrcs,cubic spline
insulin.secretion,cubic spline
Kpart,cubic spline
metasplines,cubic spline
mtsdi,cubic spline
peRiodiCS,cubic spline
psfmi,cubic spline
rmsMD,cubic spline
sglg,cubic spline
aplms,cubic spline
chipPCR,cubic spline
lgspline,cubic spline
pgam,cubic spline
rcssci,cubic spline
splines2,cubic spline
ssym,cubic spline
EmiR,cuckoo search
metaheuristicOpt,cuckoo search
lrd,cued recall
fruclimadapt,cultivar adaptation
hopit,cultural differences
folio,cultural evolution
MoLE,cultural evolution
SongEvo,cultural evolution
ConSciR,cultural heritage
ethnobotanyR,cultural importance
ethnobotanyR,cultural significance
FMAT,cultural values
PMAPscore,cumulative effects
pammtools,cumulative effects
WCE,cumulative effects
AHSurv,cumulative hazard
BayesSurvival,cumulative hazard
ecpdist,cumulative hazard
GFDsurv,cumulative hazard
GofCens,cumulative hazard
miniPCH,cumulative hazard
optband,cumulative hazard
pseudoCure,cumulative hazard
PWEALL,cumulative hazard
reda,cumulative hazard
SemiPar.depCens,cumulative hazard
simsurv,cumulative hazard
survivalREC,cumulative hazard
survPresmooth,cumulative hazard
transform.hazards,cumulative hazard
adjSURVCI,cumulative incidence
adjustedCurves,cumulative incidence
bigtcr,cumulative incidence
casebase,cumulative incidence
CFC,cumulative incidence
cifmodeling,cumulative incidence
cmpp,cumulative incidence
cmprsk,cumulative incidence
cmprskcoxmsm,cumulative incidence
currentSurvival,cumulative incidence
eventglm,cumulative incidence
fastcmprsk,cumulative incidence
hrcomprisk,cumulative incidence
intccr,cumulative incidence
jointCompRisk,cumulative incidence
kmi,cumulative incidence
mccount,cumulative incidence
mets,cumulative incidence
pseudo,cumulative incidence
QHScrnomo,cumulative incidence
surv2sampleComp,cumulative incidence
survidm,cumulative incidence
tidycmprsk,cumulative incidence
transform.hazards,cumulative incidence
tteICE,cumulative incidence
DTDA.cif,cumulative incidence
serp,cumulative link models
crch,cumulative link models
multipleDL,cumulative link models
sure,cumulative link models
survey,cumulative link models
pomcheckr,cumulative logit
fitODBOD,cumulative mass
seas,cumulative precipitation
timereg,cumulative residuals
kin.cohort,cumulative risk
Rcan,cumulative risk
cusumcharter,cumulative sum
CUSUMdesign,cumulative sum
FCUSUM,cumulative sum
ICSS,cumulative sum
isocat,cumulative sum
LadderFuelsR,cumulative sum
LGCU,cumulative sum
micss,cumulative sum
PsyControl,cumulative sum
rbcc,cumulative sum
trendchange,cumulative sum
WarnEpi,cumulative sum
UncDecomp,cumulative uncertainty
dCUR,cur decomposition
rsvd,cur decomposition
CureDepCens,cure fraction
geecure,cure fraction
GORCure,cure fraction
hdcuremodels,cure fraction
pseudoCure,cure fraction
rsurv,cure fraction
tauProcess,cure fraction
curesurv,cure model
GORCure,cure model
GPTCM,cure model
nphPower,cure model
PenIC,cure model
penPHcure,cure model
pseudoCure,cure model
cuRe,cure model
flexsurvcure,cure model
geecure,cure model
hdcuremodels,cure model
MDCcure,cure model
mixcure,cure model
npcure,cure model
npcurePK,cure model
sicure,cure model
smcure,cure model
survextrap,cure model
bayesCureRateModel,cure rate
curephEM,cure rate
EMGCR,cure rate
hdbayes,cure rate
intsurv,cure rate
MDCcure,cure rate
PScr,cure rate
currentSurvival,current leukaemia free survival
csci,current status
curstatCI,current status
intcensROC,current status
knfi,current status
SCORNET,current status
survML,current status
writeAlizer,curriculum based measurement
kdevine,curse of dimensionality
sicure,curse of dimensionality
chipPCR,curve data
epifitter,curve data
gcplyr,curve data
growthcurver,curve data
MBmca,curve data
miLAG,curve data
PCRedux,curve data
tican,curve data
ustyc,curve data
bezier,curve fitting
breathteststan,curve fitting
dsp,curve fitting
miscF,curve fitting
mixtox,curve fitting
numOSL,curve fitting
phenofit,curve fitting
powerly,curve fitting
rarestR,curve fitting
RJafroc,curve fitting
spheresmooth,curve fitting
tcplfit2,curve fitting
WindCurves,curve fitting
EMOTIONS,curve modeling
sara4r,curve number
cusp,cusp catastrophe
GSODR,customary system
CLVTools,customer attrition
GTbasedIM,customer behavior
RMM,customer choice
EMP,customer churn
ibmAcousticR,customer engagement
paws.customer.engagement,customer engagement
ChannelAttribution,customer journey
CORElearn,customer satisfaction
citrus,customer segmentation
cusum,cusum charts
CUSUMdesign,cusum charts
PsyControl,cusum charts
rbcc,cusum charts
spcadjust,cusum charts
rADA,cut points
randomUniformForest,cut points
CutpointsOEHR,cut points
eeptools,cut points
ForestDisc,cut points
hopit,cut points
logiBin,cut points
ordinal,cut points
PhysicalActivity,cut points
R2D2ordinal,cut points
bossR,cutoff values
cutoff,cutoff values
locStra,cutoff values
mvoutlier,cutoff values
CustomerScoringMetrics,cutoff values
equaltestMI,cutoff values
ezCutoffs,cutoff values
plotROC,cutoff values
ROCR,cutoff values
vaRiskScore,cvd risk
backShift,cyclic graph
gravitas,cyclic time
eChem,cyclic voltammetry
EleChemr,cyclic voltammetry
cfmortality,cystic fibrosis
gap.datasets,cystic fibrosis
debar,cytochrome c oxidase
MethEvolSIM,cytosine methylation
RCzechia,czech republic
eventreport,côte d'ivoire
huge,d n
dstat,d statistic
dstat2x2xk,d statistic
new.dist,dagum distribution
hopit,daily activities
bbdetection,daily data
fasstr,daily data
MissingHandle,daily data
TrackReconstruction,daily diary
clockplot,daily patterns
GWEX,daily precipitation
reddPrec,daily precipitation
RGENERATEPREC,daily precipitation
IETD,daily rainfall
grwat,daily runoff
cowfootR,dairy farms
EMOTIONS,dairy production
damAOI,dam construction
SMNlmec,damped exponential correlation
Dark,dark adaptation
DarkDiv,dark diversity
rpmodel,dark respiration
gdalcubes,data abstraction
gdalraster,data abstraction
traudem,data abstraction
vapour,data abstraction
FAIRmaterials,data accessibility
AQuadtree,data accuracy
beadplexr,data acquisition
happign,data acquisition
rgugik,data acquisition
eco,data aggregation
geofi,data aggregation
GeoFIS,data aggregation
